que_id,question,answer,big_cate,small_cate,intent
54248736,血压低压94，高压142血压低压94，高压142怎么办,那你是属于高血压的，需要及时注意就医用药治疗的，以免长时间引起动脉硬化等不适的。那你及时注意就医，可以先使用点硝苯地平缓释片控制血压的。注意平时低盐低脂饮食的。,内科,高血压,hypertension
63616381,你好医生，我血压是高压134，低压95，血压高吗血压高吗？怎么治疗,"建议低盐饮食,低脂肪饮食.一定要禁烟,酒,避免情绪激动.如果有高血脂必须同时治疗啊.否则降压效果不好.在当地医生指导下选择降压药如：心痛定.最好选择缓释片如波依定或硝苯地平缓释片口服,血压更平稳.多吃些果蔬是有好处的.",内科,高血压,hypertension
28071742,我有颈椎病低压90高压130怎么治,你好，建议你口服颈复康颗粒和甲钴胺片加上卡托普利片来治疗的，清淡饮食的，祝你健康！,内科,高血压,hypertension
28377335,我妈今年53了，有高血压最近老觉得头很晕？我妈今年53了，有高血压最近老觉得头很晕，身体表面也很痒，以为是皮肤病看了很多地方都没有好。最近一次。,您好，头晕是高血压的问题，但是皮肤痒跟高血压没有关系，您可以注意一下您母亲眼睛巩膜有没有发黄，另外还要监测一下血糖，因为黄疸和糖尿病都会导致皮肤痒尽量控制血压，保持平稳，如果没有黄疸，血糖正常，那么建议您带母亲看一下中医，一般皮肤痒是属于营卫不和的问题，辨证施治，效果会很不错,内科,高血压,hypertension
47475566,最近经常低头起来后头晕，低压69，高压正常，有点贫血，跟这个有关系吗该怎么治疗，是怎么引起的,你好！根据你所说症状与你现在的血压无关，因为血压值是正常范围内的，而与贫血可能有直接关系。请结合临床症状在医师综合分析后累明确导致头晕的病因，纠正贫血是首要的措施，包括全面的饮食营养以及补益气血和铁制剂的应用。,内科,高血压,hypertension
26995116,低压85高压125用吃药吗，有时感觉脑袋迷糊，就想睡觉曾经治疗情况和效果：以前没得过建议吃点什么药,正常收缩压压为90至小于140，舒张压为60至小于90.不要担心。你的血压125/85mmhg为正常血压，无需服用降压药物。可通过脑电图或脑CT检查排除脑部疾患。,内科,高血压,hypertension
12810613,右边头麻木是怎么回事,你好，你这种情况建议去做个颅脑CT，因为脑血管病变可以出现上述症状.这种情况建议先做个检查，脑血管疾病可以出现上述症状，可以通过静滴活血化瘀药物，或配合针灸舒经活络，改善上述症状，不要有心理压力，祝你早日康复.,内科,高血压,hypertension
60748371,高血压，脑梗这几天迷糊,指导意见：你的情况是脑梗塞后遗症引起的症状，我的建议是要控制危险因素，如血压，血脂可以口服他汀类降血脂，再就是长期口服阿司匹林。,内科,高血压,hypertension
43114292,劲椎病会引起高血压头疼怎么办,指导意见：你好，颈椎病目前没有很好的办法根治。手术风险很大，推拿牵引，小针刀也只能缓解。平时注意一下，不要老是低头或坐在那里不动，多多运动。特别是现在天气冷了，戴个围巾，注意脖子保暖。建议你吃西比灵和维生素B1谷维素，效果很好。不过不能根治此病。,内科,高血压,hypertension
59148763,我今年39岁血压高头晕高压150低压100:,你好，高血压建议低盐饮食，低脂肪饮食。一定要禁烟，酒，避免情绪激动。高血压不是一下子能控制的，一般需要积极长期吃药，一般可选择替米沙坦。具体用法和注意事项谨遵医嘱。注意清淡饮食，多吃芹菜也是不错的。,内科,高血压,hypertension
20959585,高血压，头晕，耳鸣，脚心发烧,"治疗高血压建议低盐饮食,低脂肪饮食.一定要禁烟,酒,避免情绪激动.如果有高血脂必须同时治疗啊.否则降压效果不好.在当地医生指导下选择降压药如:心痛定.最好选择缓释片如波依定或硝苯地平缓释片口服,血压更平稳.多吃些果蔬是有好",内科,高血压,hypertension
39138317,"颜面水肿,后双下肢水肿曾经治疗情况和效果：慢性肾小球肾炎a型,肾性高血压,二期膜性肾炎找一份合理治疗方案",指导意见：一般就是选择药物治疗，常用银花泌炎灵片配合抗生素使用治疗的，平时宜食清淡易消化食物，忌海鲜、牛肉、羊肉、辛辣刺激性食物、酒及一切发物。不熬夜，节制性生活，注意休息、避免受凉，保持心情愉快。,内科,高血压,hypertension
41188260,突发性耳聋20多天问诊突发性耳聋20多天前三天恶心呕吐眩晕耳鸣后来左耳听力丧失营养神经的药配合高压氧,您好！听功能障碍多种原因。如慢性化脓性中耳炎、神经性耳聋、突发性耳聋等。首先需到耳鼻喉科行听力学检查，判断听力障碍类型及程度。如较轻，不影响日常交流可口服改善循环、营养神经药物治疗。如较重但尚有残余听力，可考虑佩戴助听器。,内科,高血压,hypertension
50513851,在家护理治疗怎么办母，糖尿病二型伴高血压，觉心疼难受，眼睛似有�C泪，视觉模糊半米见两指，消瘦，小腿皮肤干枯脱皮层心疼，视觉情况怎护理和用药,血糖血压异常都导致眼睛的改变，所以血糖和血压必须要控制好，但是也只能防治病情恶化而对已经造成的眼底改变尚没有明确的用药。心疼还考虑冠心病。不要在家护理，建议到当地医院做好相关检查，进一步明确诊断，再用药！,内科,高血压,hypertension
41423475,主要症状:血压高腿浮肿脚踝和脚面有疹子发病时间:化验检查结果:尿蛋白+1,指导意见：妊高症.建议到医院接受治疗和产前预防.1实行产前检查做好孕期保健工作.妊娠早期应测量1次血压作为孕期的基础血压以后定期检查尤其是在妊娠36周以后应每周观察血压及体重的变化有无蛋白尿及头晕等自觉症状.2加强孕期营养及休息.加强妊娠中晚期营养尤其是蛋白质多种维生素叶酸铁剂的补充对预防妊娠高血压综合征[1]有一定作用.因为母体营养缺乏低蛋白血症或严重贫血者其妊高征发生率增高.3重视诱发因素治疗原发病.仔细想一想家族史孕妇的外祖母母亲或婶妹间是否曾经患妊高征如果有这种情况就要考虑遗传因素了.孕妇如果孕前,内科,高血压,hypertension
65818958,因为高血压小腿浮肿怎么办曾经治疗情况和效果：高压180低压130吃什么药能消肿,那你需要注意因为血压高时间长了引起心脏功能受损，心脏功能不好好有引起下肢水肿的。那你可以及时注意就医检查一下心脏情况，以及肾脏功能的。如果心脏功能不好了，可以在使用降压药物同时配合螺内酯治疗的。,内科,高血压,hypertension
47485329,骑车摔跤后，住院半个月。右侧额顶骨骨折，颅底骨折，颅内积气。高血压。出院后半个月一切正常。在住院和休息的这一个月都没什么别的症状。但是工作以后就一直头晕。该怎么治疗。这样的症状要持续多久呢？,指导意见：骨折，至少卧床休息二个月左右的，不要急，可以在床上适当的活动肢体。补充钙和维生素D，注意复查。,内科,高血压,hypertension
63529674,你好、我最近老是心慌、头晕、喘气上不来气、去医院检查心脏什么都没啥问题、就是高血压、但最近越来越严重了、怎么回事,你好，心慌头晕呼吸困难一般与心脏疾病有关，有时心脏病不发作不太好诊断建议，应该去医院做进一步如24小时心电图，彩超，明确病因，再对症治疗,内科,高血压,hypertension
9887537,全部症状：体检尿酸偏高467，血压高138/88，B超检查肝胆双肾无异常血常规只有尿酸高别的正常请大夫是不是肾有严重问题，怎样进一步检查发病时间及原因：发病时间及原因：治疗情况：,你好，对于你的情况，建议你饮食上清淡，不要吃高蛋白的食物,内科,高血压,hypertension
49166620,同型半胱氨酸高出一倍？平时没有感觉到有不适，只是偶尔高血压，头晕，不过都在吃药，只要情绪不激动也不常发作，昨天在医院做了职工体检，说是同型半胱氨酸高出一倍，其余的数据都显示正常，也没看明白。。请问，检查出同型半胱氨酸高出一倍该怎么办呢？,您好；高同型半胱氨酸血症患者早期即可发生全身动脉粥样硬化和血栓形成，对于高同型半胱氨酸血症的治疗，针对其发病原因，一方面补充叶酸和维生素，有人研究发现即使叶酸水平未降低的患者，补充叶酸和维生素也可促进hcy代谢，降低同型半胱氨酸的水平，而且二者应联合补充效果更好，每天口,内科,肾内科,hypertension
45350225,头很晕高压180低压95请问有什么验方没如何治疗,正常成人正常血压范围是：舒张压90-60mmHg，收缩压140-90mmHg，你的收缩压160mmHg，舒张压是100mmHg，血压偏高了，高血压是会引起头痛、头晕、头昏脑涨等症状的出现。建议：应该清淡饮食，低钠盐饮食，少吃肥肉、油腻和动物内脏，避免辛辣、刺激性等食物，可以适当去医院做一个血脂、胆固醇、血糖化验，酌情就医、合理治疗，适当服用抗高血压药物治疗，如复方降压片、复方罗布麻片、复方丹参片、天麻头风灵片等药物治疗。,内科,高血压,hypertension
22824607,我最近低压100，高压120是怎么回事？？我最近低压100，高压120是怎么回事？还有相对内脏做检查大概多少钱？谢谢大夫。。,你好，你的低压有点高，你的年龄比较年轻，需要检查是否是其他原因引起的。建议：需要到医院检查，检查的项目医生会根据情况进行选择的，具体多少钱我还真不知道。,内科,高血压,hypertension
9311580,全部症状：在脑干出血以后造成全身瘫痪，生活不能自理。发病时间及原因：到目前4年半，本身有血压高，伴有吸烟，喝酒，有时工作上熬夜。治疗情况：大脑思维一切正常，言语不清楚，左半身有知觉，但不能行动。,你好，目前的症状的，还是属于脑血管意外，后遗症还是不可逆的，合理保养即可,内科,高血压,hypertension
56984707,病情描述发病时间、主要症状、症状变化等）：我血压一直是不好的高压还可以主要就是低压高那天在早市量血压那个小同志说我高压140低压110说我低压高压差小想问一下压差要多大才合适呢？压差小是怎么回事啊？,血压的压差是由收缩压减去舒张压得到的。正常脉压差为30~40mmHg收缩压减低或舒张压升高均会使脉压差相对减小。收缩压主要取决于心肌收缩力的大小与心脏排出量的多少。心排血量减少、心肌收缩力减弱可引起收缩压降低；而舒张压主要取决于外周血管阻力和动脉壁的弹性。血管阻力增大、主要引起舒张压升高。脉压减小的原因有：1、心脏每搏输出量减少,内科,高血压,hypertension
11403389,前年得过一次轻度脑更，最近血压，早晨空腹高压164，低压110，这样应该怎么办,"你好，血压控制你低盐饮食，低脂肪饮食。一定要要禁烟，酒,避免情绪激动。在当地医生指导下选择降压药如：心通定。最好选择缓释片如波依定或者寿比山口服，血压更平稳",内科,高血压,hypertension
39278640,高压150低压120头晕会不会中风吃什么药需要住院吗,"gxy=1,你好高血压是一种以动脉血压持续升高为主要表现的慢性疾病，目前是无法根治的，只能说从药物稳定血压，降压药一般有尼群地平、卡托普利等，饮食低盐低脂做起，适当的运动，保持良好的生活习惯，建议在当地医生指导下口服降压平稳的药物治疗,低盐饮食,低脂肪饮食.一定要禁烟,酒,避免情绪激动,服药要坚持.化指导意见，答非所问、敷衍、无意义回复，将会被通报！",内科,高血压,hypertension
